Job ID,Job Title,Country,Job Description,Skills Required,Experience Required,Age Required,Salary,Working Hours,Facilities,Looking gender,No. of job seekers required,Available Quantity
17,Baby Sitter,Malaysia,"This is a job for a Baby Sitter in Malaysia. As a Baby Sitter, you will be responsible for child safety, ensuring efficiency and quality in your role. Your key duties will include meal preparation, first aid, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Child safety, Meal preparation, First aid skills and the ability to work in a fast-paced, professional setting. Prior experience in baby sitter is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Malaysia, this role is for you.","Childcare, First Aid, Meal Preparation, Safety Awareness, Activity Planning","1st time, Experienced",39-43,"Rs. 157,418.00",11 hours,"Accommodation, Food, Medical",female,137,38
18,Baby Sitter,Oman,"This is a job for a Baby Sitter in Oman. As a Baby Sitter, you will be responsible for child safety, ensuring efficiency and quality in your role. Your key duties will include meal preparation, first aid, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Child safety, Meal preparation, First aid skills and the ability to work in a fast-paced, professional setting. Prior experience in baby sitter is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Oman, this role is for you.","Childcare, First Aid, Meal Preparation, Safety Awareness, Activity Planning",1st time,31-55,"Rs. 272,241.00",10 hours,"Accommodation, Medical, Transport, Meal Allowance",female,10,1
19,Barista,Kuwait,"This is a job for a Barista in Kuwait. As a Barista, you will be responsible for espresso preparation, ensuring efficiency and quality in your role. Your key duties will include latte art, customer service, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Espresso preparation, Latte art, Customer service skills and the ability to work in a fast-paced, professional setting. Prior experience in barista is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Kuwait, this role is for you.","Espresso Preparation, Latte Art, Customer Service, Coffee Bean Knowledge, Cash Handling",Experienced,24-58,"Rs. 180,900.00",9 hours,"Accommodation, Food, Transport","male, female",15,5
20,Barista,Lebanon,"This is a job for a Barista in Lebanon. As a Barista, you will be responsible for espresso preparation, ensuring efficiency and quality in your role. Your key duties will include latte art, customer service, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Espresso preparation, Latte art, Customer service skills and the ability to work in a fast-paced, professional setting. Prior experience in barista is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Lebanon, this role is for you.","Espresso Preparation, Latte Art, Customer Service, Coffee Bean Knowledge, Cash Handling",Experienced,21-42,"Rs. 176,614.00",12 hours,"Accommodation, Medical","male, female",19,8
21,Bartender,Bahrain,"This is a job for a Bartender in Bahrain. As a Bartender, you will be responsible for cocktail mixing, ensuring efficiency and quality in your role. Your key duties will include liquor knowledge, customer engagement, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Cocktail mixing, Liquor knowledge, Customer engagement skills and the ability to work in a fast-paced, professional setting. Prior experience in bartender is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Bahrain, this role is for you.","Cocktail Mixing, Liquor Knowledge, Customer Interaction, Speed Service, Inventory Management",Experienced,24-51,"Rs. 237,035.00",8 hours,"Accommodation, Medical","male, female",123,95
22,Bartender,Romania,"This is a job for a Bartender in Romania. As a Bartender, you will be responsible for cocktail mixing, ensuring efficiency and quality in your role. Your key duties will include liquor knowledge, customer engagement, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Cocktail mixing, Liquor knowledge, Customer engagement skills and the ability to work in a fast-paced, professional setting. Prior experience in bartender is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Romania, this role is for you.","Cocktail Mixing, Liquor Knowledge, Customer Interaction, Speed Service, Inventory Management",Experienced,31-47,"Rs. 201,073.00",8 hours,"Accommodation, Medical","male, female",86,81
23,Beautician,Singapore,"This is a job for a Beautician in Singapore. As a Beautician, you will be responsible for skin care, ensuring efficiency and quality in your role. Your key duties will include hair styling, makeup application, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Skin care, Hair styling, Makeup application skills and the ability to work in a fast-paced, professional setting. Prior experience in beautician is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Singapore, this role is for you.","Skin Care, Makeup Application, Hair Styling, Facial Treatments, Cosmetic Product Knowledge",Experienced,39-43,"Rs. 210,509.00",9 hours,"Accommodation, Food, Medical","male, female",81,55
24,Beautician,Qatar,"This is a job for a Beautician in Qatar. As a Beautician, you will be responsible for skin care, ensuring efficiency and quality in your role. Your key duties will include hair styling, makeup application, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Skin care, Hair styling, Makeup application skills and the ability to work in a fast-paced, professional setting. Prior experience in beautician is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Qatar, this role is for you.","Skin Care, Makeup Application, Hair Styling, Facial Treatments, Cosmetic Product Knowledge",Experienced,21-49,"Rs. 248,829.00",11 hours,"Accommodation, Food, Medical","male, female",52,50
25,Beautician (Hair Dressers/Manicure/Pedicure),Dubai,"This is a job for a Beautician (Hair Dressers/Manicure/Pedicure) in Dubai. As a Beautician (Hair Dressers/Manicure/Pedicure), you will be responsible for haircutting, ensuring efficiency and quality in your role. Your key duties will include nail art, scalp treatments, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Haircutting, Nail art, Scalp treatments skills and the ability to work in a fast-paced, professional setting. Prior experience in beautician (hair dressers/manicure/pedicure) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Dubai, this role is for you.","Hair Styling, Hair Coloring, Manicure & Pedicure, Facial Treatments, Customer Consultation",1st time,34-46,"Rs. 234,235.00",10 hours,"Accommodation, Food, Transport","male, female",182,67
26,Beautician (Hair Dressers/Manicure/Pedicure),Dubai,"This is a job for a Beautician (Hair Dressers/Manicure/Pedicure) in Dubai. As a Beautician (Hair Dressers/Manicure/Pedicure), you will be responsible for haircutting, ensuring efficiency and quality in your role. Your key duties will include nail art, scalp treatments, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Haircutting, Nail art, Scalp treatments skills and the ability to work in a fast-paced, professional setting. Prior experience in beautician (hair dressers/manicure/pedicure) is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Dubai, this role is for you.","Hair Styling, Hair Coloring, Manicure & Pedicure, Facial Treatments, Customer Consultation",Experienced,24-42,"Rs. 299,238.00",8 hours,"Accommodation, Food, Transport","male, female",52,43
27,Butcher,Singapore,"This is a job for a Butcher in Singapore. As a Butcher, you will be responsible for meat cutting, ensuring efficiency and quality in your role. Your key duties will include knife skills, food safety, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Meat cutting, Knife skills, Food safety skills and the ability to work in a fast-paced, professional setting. Prior experience in butcher is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Singapore, this role is for you.","Meat Cutting, Knife Handling, Food Safety, Portion Control, Butchery Techniques",Experienced,26-53,"Rs. 151,100.00",11 hours,"Accommodation, Food, Medical","male, female",175,20
28,Butcher,Jordan,"This is a job for a Butcher in Jordan. As a Butcher, you will be responsible for meat cutting, ensuring efficiency and quality in your role. Your key duties will include knife skills, food safety, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Meat cutting, Knife skills, Food safety skills and the ability to work in a fast-paced, professional setting. Prior experience in butcher is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Jordan, this role is for you.","Meat Cutting, Knife Handling, Food Safety, Portion Control, Butchery Techniques",Experienced,31-49,"Rs. 246,030.00",11 hours,"Accommodation, Food, Medical","male, female",156,98
29,Cake Decorators,Bahrain,"This is a job for a Cake Decorators in Bahrain. As a Cake Decorators, you will be responsible for icing techniques, ensuring efficiency and quality in your role. Your key duties will include fondant work, piping skills, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Icing techniques, Fondant work, Piping skills skills and the ability to work in a fast-paced, professional setting. Prior experience in cake decorators is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Bahrain, this role is for you.","Icing Techniques, Fondant Work, Piping Skills, Artistic Design, Chocolate Work","1st time, Experienced",24-47,"Rs. 199,148.00",9 hours,"Accommodation, Medical, Meal Allowance","male, female",41,38
30,Cake Decorators,Jordan,"This is a job for a Cake Decorators in Jordan. As a Cake Decorators, you will be responsible for icing techniques, ensuring efficiency and quality in your role. Your key duties will include fondant work, piping skills, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Icing techniques, Fondant work, Piping skills skills and the ability to work in a fast-paced, professional setting. Prior experience in cake decorators is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Jordan, this role is for you.","Icing Techniques, Fondant Work, Piping Skills, Artistic Design, Chocolate Work",1st time,33-49,"Rs. 298,380.00",8 hours,"Accommodation, Medical, Meal Allowance","male, female",197,24
31,Car Washer,Qatar,"This is a job for a Car Washer in Qatar. As a Car Washer, you will be responsible for vehicle detailing, ensuring efficiency and quality in your role. Your key duties will include pressure washing, wax application, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Vehicle detailing, Pressure washing, Wax application skills and the ability to work in a fast-paced, professional setting. Prior experience in car washer is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Qatar, this role is for you.","Auto Detailing, Pressure Washing, Wax Application, Interior Cleaning, Customer Service",1st time,34-60,"Rs. 285,524.00",10 hours,"Accommodation, Food, Medical","male, female",122,78
32,Car Washer,Kuwait,"This is a job for a Car Washer in Kuwait. As a Car Washer, you will be responsible for vehicle detailing, ensuring efficiency and quality in your role. Your key duties will include pressure washing, wax application, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Vehicle detailing, Pressure washing, Wax application skills and the ability to work in a fast-paced, professional setting. Prior experience in car washer is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Kuwait, this role is for you.","Auto Detailing, Pressure Washing, Wax Application, Interior Cleaning, Customer Service",1st time,31-48,"Rs. 245,769.00",9 hours,"Accommodation, Medical","male, female",8,4
33,Care Giver,Oman,"This is a job for a Care Giver in Oman. As a Care Giver, you will be responsible for elderly care, ensuring efficiency and quality in your role. Your key duties will include basic nursing, patient assistance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Elderly care, Basic nursing, Patient assistance skills and the ability to work in a fast-paced, professional setting. Prior experience in care giver is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Oman, this role is for you.","Elderly Care, Patient Assistance, Compassionate Support, Hygiene Maintenance, Basic Medical Knowledge",1st time,24-44,"Rs. 295,279.00",10 hours,"Accommodation, Medical, Meal Allowance",female,166,146
34,Care Giver,Dubai,"This is a job for a Care Giver in Dubai. As a Care Giver, you will be responsible for elderly care, ensuring efficiency and quality in your role. Your key duties will include basic nursing, patient assistance, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Elderly care, Basic nursing, Patient assistance skills and the ability to work in a fast-paced, professional setting. Prior experience in care giver is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Dubai, this role is for you.","Elderly Care, Patient Assistance, Compassionate Support, Hygiene Maintenance, Basic Medical Knowledge",1st time,36-44,"Rs. 238,859.00",11 hours,"Accommodation, Medical",female,51,40
35,Carpenter,Singapore,"This is a job for a Carpenter in Singapore. As a Carpenter, you will be responsible for woodworking, ensuring efficiency and quality in your role. Your key duties will include blueprint reading, furniture making, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Woodworking, Blueprint reading, Furniture making skills and the ability to work in a fast-paced, professional setting. Prior experience in carpenter is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Singapore, this role is for you.","Woodworking, Blueprint Reading, Furniture Crafting, Framing and Joinery, Measurement & Precision",1st time,30-50,"Rs. 269,067.00",9 hours,"Accommodation, Medical, Meal Allowance","male, female",77,43
36,Carpenter,Oman,"This is a job for a Carpenter in Oman. As a Carpenter, you will be responsible for woodworking, ensuring efficiency and quality in your role. Your key duties will include blueprint reading, furniture making, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Woodworking, Blueprint reading, Furniture making skills and the ability to work in a fast-paced, professional setting. Prior experience in carpenter is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Oman, this role is for you.","Woodworking, Blueprint Reading, Furniture Crafting, Framing and Joinery, Measurement & Precision",Experienced,35-45,"Rs. 263,570.00",8 hours,"Accommodation, Medical, Meal Allowance","male, female",63,9
37,Cash Custodian,Romania,"This is a job for a Cash Custodian in Romania. As a Cash Custodian, you will be responsible for cash handling, ensuring efficiency and quality in your role. Your key duties will include inventory control, security procedures, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Cash handling, Inventory control, Security procedures skills and the ability to work in a fast-paced, professional setting. Prior experience in cash custodian is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Romania, this role is for you.","Cash Handling, Security Procedures, Fraud Prevention, Inventory Control, Financial Auditing",Experienced,29-57,"Rs. 290,364.00",9 hours,"Accommodation, Medical, Meal Allowance","male, female",80,23
38,Cash Custodian,Singapore,"This is a job for a Cash Custodian in Singapore. As a Cash Custodian, you will be responsible for cash handling, ensuring efficiency and quality in your role. Your key duties will include inventory control, security procedures, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Cash handling, Inventory control, Security procedures skills and the ability to work in a fast-paced, professional setting. Prior experience in cash custodian is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Singapore, this role is for you.","Cash Handling, Security Procedures, Fraud Prevention, Inventory Control, Financial Auditing",1st time,36-55,"Rs. 250,361.00",9 hours,"Accommodation, Food, Transport","male, female",11,7
39,Cashiers,Qatar,"This is a job for a Cashiers in Qatar. As a Cashiers, you will be responsible for point of sale, ensuring efficiency and quality in your role. Your key duties will include customer service, billing management, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Point of sale, Customer service, Billing management skills and the ability to work in a fast-paced, professional setting. Prior experience in cashiers is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Qatar, this role is for you.","Point of Sale (POS), Customer Service, Billing and Transactions, Inventory Management, Mathematical Accuracy",1st time,30-52,"Rs. 256,633.00",8 hours,"Accommodation, Medical, Transport, Meal Allowance","male, female",85,71
40,Cashiers,Kuwait,"This is a job for a Cashiers in Kuwait. As a Cashiers, you will be responsible for point of sale, ensuring efficiency and quality in your role. Your key duties will include customer service, billing management, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Point of sale, Customer service, Billing management skills and the ability to work in a fast-paced, professional setting. Prior experience in cashiers is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Kuwait, this role is for you.","Point of Sale (POS), Customer Service, Billing and Transactions, Inventory Management, Mathematical Accuracy",1st time,23-59,"Rs. 276,909.00",11 hours,"Accommodation, Medical, Meal Allowance","male, female",62,54
41,CCTV Technicians,Lebanon,"This is a job for a CCTV Technicians in Lebanon. As a CCTV Technicians, you will be responsible for camera installation, ensuring efficiency and quality in your role. Your key duties will include network troubleshooting, surveillance monitoring, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Camera installation, Network troubleshooting, Surveillance monitoring skills and the ability to work in a fast-paced, professional setting. Prior experience in cctv technicians is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Lebanon, this role is for you.","Surveillance Installation, Camera Maintenance, Networking, Security Systems, Troubleshooting",Experienced,25-54,"Rs. 198,667.00",11 hours,"Accommodation, Food, Medical",male,159,52
42,CCTV Technicians,Oman,"This is a job for a CCTV Technicians in Oman. As a CCTV Technicians, you will be responsible for camera installation, ensuring efficiency and quality in your role. Your key duties will include network troubleshooting, surveillance monitoring, and other essential tasks, while maintaining high industry standards and workplace safety. You should have strong Camera installation, Network troubleshooting, Surveillance monitoring skills and the ability to work in a fast-paced, professional setting. Prior experience in cctv technicians is preferred but not mandatory. If you are detail-oriented, hardworking, and looking for an opportunity to grow your career in Oman, this role is for you.","Surveillance Installation, Camera Maintenance, Networking, Security Systems, Troubleshooting",Experienced,31-49,"Rs. 188,237.00",11 hours,"Accommodation, Medical, Transport, Meal Allowance",male,159,29
